"State Code","County Code","Site Num","Parameter Code","POC","Latitude","Longitude","Datum","Parameter Name","Sample Duration","Pollutant Standard","Date Local","Units of Measure","Event Type","Observation Count","Observation Percent","Arithmetic Mean","1st Max Value","1st Max Hour","AQI","Method Code","Method Name","Local Site Name","Address","State Name","County Name","City Name","CBSA Name","Date of Last Change"
"19","045","0019","43502",16,41.823283,-90.211982,"WGS84","Formaldehyde","24 HOUR","","2021-01-10","Parts per billion Carbon","None",1,100.0,0.5,0.5,0,"","202","SILICA-DNPH-CART-KI O3 SCRUB - HPLC ULTRAVIOLET ABSORPTION","CLINTON, CHANCY PARK","23RD & CAMANCHE","Iowa","Clinton","Clinton","Clinton, IA","2021-05-07"
"19","045","0019","43502",16,41.823283,-90.211982,"WGS84","Formaldehyde","24 HOUR","","2021-01-22","Parts per billion Carbon","None",1,100.0,0.6,0.6,0,"","202","SILICA-DNPH-CART-KI O3 SCRUB - HPLC ULTRAVIOLET ABSORPTION","CLINTON, CHANCY PARK","23RD & CAMANCHE","Iowa","Clinton","Clinton","Clinton, IA","2021-05-07"
"19","045","0019","43502",16,41.823283,-90.211982,"WGS84","Formaldehyde","24 HOUR","","2021-02-03","Parts per billion Carbon","None",1,100.0,0.8,0.8,0,"","202","SILICA-DNPH-CART-KI O3 SCRUB - HPLC ULTRAVIOLET ABSORPTION","CLINTON, CHANCY PARK","23RD & CAMANCHE","Iowa","Clinton","Clinton","Clinton, IA","2021-05-07"
"19","045","0019","43502",16,41.823283,-90.211982,"WGS84","Formaldehyde","24 HOUR","","2021-02-15","Parts per billion Carbon","None",1,100.0,0.5,0.5,0,"","202","SILICA-DNPH-CART-KI O3 SCRUB - HPLC ULTRAVIOLET ABSORPTION","CLINTON, CHANCY PARK","23RD & CAMANCHE","Iowa","Clinton","Clinton","Clinton, IA","2021-05-07"
"19","045","0019","43502",16,41.823283,-90.211982,"WGS84","Formaldehyde","24 HOUR","","2021-02-27","Parts per billion Carbon","None",1,100.0,1,1,0,"","202","SILICA-DNPH-CART-KI O3 SCRUB - HPLC ULTRAVIOLET ABSORPTION","CLINTON, CHANCY PARK","23RD & CAMANCHE","Iowa","Clinton","Clinton","Clinton, IA","2021-05-07"
"19","045","0019","43502",16,41.823283,-90.211982,"WGS84","Formaldehyde","24 HOUR","","2021-03-05","Parts per billion Carbon","None",1,100.0,0.9,0.9,0,"","202","SILICA-DNPH-CART-KI O3 SCRUB - HPLC ULTRAVIOLET ABSORPTION","CLINTON, CHANCY PARK","23RD & CAMANCHE","Iowa","Clinton","Clinton","Clinton, IA","2021-05-07"
"19","045","0019","43502",16,41.823283,-90.211982,"WGS84","Formaldehyde","24 HOUR","","2021-03-11","Parts per billion Carbon","None",1,100.0,0.5,0.5,0,"","202","SILICA-DNPH-CART-KI O3 SCRUB - HPLC ULTRAVIOLET ABSORPTION","CLINTON, CHANCY PARK","23RD & CAMANCHE","Iowa","Clinton","Clinton","Clinton, IA","2021-05-07"
"19","045","0019","43502",16,41.823283,-90.211982,"WGS84","Formaldehyde","24 HOUR","","2021-03-17","Parts per billion Carbon","None",1,100.0,0.4,0.4,0,"","202","SILICA-DNPH-CART-KI O3 SCRUB - HPLC ULTRAVIOLET ABSORPTION","CLINTON, CHANCY PARK","23RD & CAMANCHE","Iowa","Clinton","Clinton","Clinton, IA","2021-05-07"
"19","045","0019","43502",16,41.823283,-90.211982,"WGS84","Formaldehyde","24 HOUR","","2021-03-23","Parts per billion Carbon","None",1,100.0,0.5,0.5,0,"","202","SILICA-DNPH-CART-KI O3 SCRUB - HPLC ULTRAVIOLET ABSORPTION","CLINTON, CHANCY PARK","23RD & CAMANCHE","Iowa","Clinton","Clinton","Clinton, IA","2021-05-07"
"19","045","0019","43502",16,41.823283,-90.211982,"WGS84","Formaldehyde","24 HOUR","","2021-03-29","Parts per billion Carbon","None",1,100.0,1,1,0,"","202","SILICA-DNPH-CART-KI O3 SCRUB - HPLC ULTRAVIOLET ABSORPTION","CLINTON, CHANCY PARK","23RD & CAMANCHE","Iowa","Clinton","Clinton","Clinton, IA","2021-05-07"
"19","045","0019","43503",16,41.823283,-90.211982,"WGS84","Acetaldehyde","24 HOUR","","2021-01-10","Parts per billion Carbon","None",1,100.0,0.7,0.7,0,"","202","SILICA-DNPH-CART-KI O3 SCRUB - HPLC ULTRAVIOLET ABSORPTION","CLINTON, CHANCY PARK","23RD & CAMANCHE","Iowa","Clinton","Clinton","Clinton, IA","2021-05-07"
"19","045","0019","43503",16,41.823283,-90.211982,"WGS84","Acetaldehyde","24 HOUR","","2021-01-22","Parts per billion Carbon","None",1,100.0,1,1,0,"","202","SILICA-DNPH-CART-KI O3 SCRUB - HPLC ULTRAVIOLET ABSORPTION","CLINTON, CHANCY PARK","23RD & CAMANCHE","Iowa","Clinton","Clinton","Clinton, IA","2021-05-07"
"19","045","0019","43503",16,41.823283,-90.211982,"WGS84","Acetaldehyde","24 HOUR","","2021-02-03","Parts per billion Carbon","None",1,100.0,14.2,14.2,0,"","202","SILICA-DNPH-CART-KI O3 SCRUB - HPLC ULTRAVIOLET ABSORPTION","CLINTON, CHANCY PARK","23RD & CAMANCHE","Iowa","Clinton","Clinton","Clinton, IA","2021-05-07"
"19","045","0019","43503",16,41.823283,-90.211982,"WGS84","Acetaldehyde","24 HOUR","","2021-02-15","Parts per billion Carbon","None",1,100.0,0.6,0.6,0,"","202","SILICA-DNPH-CART-KI O3 SCRUB - HPLC ULTRAVIOLET ABSORPTION","CLINTON, CHANCY PARK","23RD & CAMANCHE","Iowa","Clinton","Clinton","Clinton, IA","2021-05-07"
"19","045","0019","43503",16,41.823283,-90.211982,"WGS84","Acetaldehyde","24 HOUR","","2021-02-27","Parts per billion Carbon","None",1,100.0,3.4,3.4,0,"","202","SILICA-DNPH-CART-KI O3 SCRUB - HPLC ULTRAVIOLET ABSORPTION","CLINTON, CHANCY PARK","23RD & CAMANCHE","Iowa","Clinton","Clinton","Clinton, IA","2021-05-07"
"19","045","0019","43503",16,41.823283,-90.211982,"WGS84","Acetaldehyde","24 HOUR","","2021-03-05","Parts per billion Carbon","None",1,100.0,1.1,1.1,0,"","202","SILICA-DNPH-CART-KI O3 SCRUB - HPLC ULTRAVIOLET ABSORPTION","CLINTON, CHANCY PARK","23RD & CAMANCHE","Iowa","Clinton","Clinton","Clinton, IA","2021-05-07"
"19","045","0019","43503",16,41.823283,-90.211982,"WGS84","Acetaldehyde","24 HOUR","","2021-03-11","Parts per billion Carbon","None",1,100.0,0.6,0.6,0,"","202","SILICA-DNPH-CART-KI O3 SCRUB - HPLC ULTRAVIOLET ABSORPTION","CLINTON, CHANCY PARK","23RD & CAMANCHE","Iowa","Clinton","Clinton","Clinton, IA","2021-05-07"
